"seccion","id_o_metodo","ruta_09_o_codigo","titulo_o_handler","prioridad_09","clasificacion","contraparte","nota","evidencia"
"A_OPERACION_09","API-ACC-01","POST /api/v1/registrations","Registrar identidad","P0","CONTRADICE","POST /api/v1/auth/activacion/:token [CONTRADICE]","Fija contraseña y otorga TERMINOS + DATOS_SALUD en un único acto (auth.service.ts:36). El 09 separa aceptación de términos y de privacidad (ACC-01) y otorga B2 solo sobre un vínculo (CON-02).","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L227"
"A_OPERACION_09","API-ACC-02","POST /api/v1/auth/sessions","Iniciar sesión local","P0","PARCIAL","POST /api/v1/auth/login [PARCIAL]","JWT sin recurso de sesión revocable; sin rate limit.","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L311"
"A_OPERACION_09","API-ACC-03","DELETE /api/v1/auth/sessions/current","Finalizar sesión actual","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L397"
"A_OPERACION_09","API-ACC-04","DELETE /api/v1/auth/sessions","Revocar todas las sesiones propias","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L431"
"A_OPERACION_09","API-ACC-05","GET /api/v1/me","Consultar identidad/sesión propia","P0","PARCIAL","GET /api/v1/auth/me [PARCIAL]","Identidad propia; sin datos de sesión.","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L461"
"A_OPERACION_09","API-ACC-06","PATCH /api/v1/me/profile","Editar perfil propio","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L509"
"A_OPERACION_09","API-ACC-P1-01","POST /api/v1/auth/recovery-requests","Iniciar recuperación","P1/soporte","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L477"
"A_OPERACION_09","API-ACC-P1-02","POST /api/v1/auth/recovery-requests/{recoveryId}/complete","Completar recuperación","P1/soporte","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L509"
"A_OPERACION_09","API-ACC-P1-03","POST /api/v1/me/account-closure-requests","Solicitar cierre","P1/soporte","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L582"
"A_OPERACION_09","API-ACC-P1-04","GET /api/v1/me/account-closure-requests/current","Estado del cierre","P1/soporte","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L605"
"A_OPERACION_09","API-ANT-01","GET /api/v1/anthropometry/specifications?limit=&cursor=&status=","Consultar especificaciones disponibles","P0","NO_EXISTE","","","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L336"
"A_OPERACION_09","API-ANT-02","POST /api/v1/advisees/{adviseeId}/anthropometry/evaluations","Crear evaluación antropométrica","P0","PARCIAL","POST /api/v1/eventos-salud/antropometria [PARCIAL]","Sin especificación/protocolo (ANT-01); derivados en la misma fila.","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L371"
"A_OPERACION_09","API-ANT-03","GET /api/v1/advisees/{adviseeId}/anthropometry/evaluations?limit=&cursor=","Listar evaluaciones","P0","NO_EXISTE","","","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L516"
"A_OPERACION_09","API-ANT-04","GET /api/v1/anthropometry/evaluations/{evaluationId}","Consultar evaluación","P0","NO_EXISTE","","","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L545"
"A_OPERACION_09","API-ANT-05","POST /api/v1/anthropometry/evaluations/{evaluationId}/corrections","Corregir evaluación antropométrica","P0","NO_EXISTE","","","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L579"
"A_OPERACION_09","API-ANT-06","GET /api/v1/advisees/{adviseeId}/anthropometry/progress?metric=&periodStart=&periodEnd=","Evolución antropométrica","P0","PARCIAL","GET /api/v1/eventos-salud/series [PARCIAL]","Serie por métrica; mezcla biometría.","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L710"
"A_OPERACION_09","API-CON-01","GET /api/v1/relationships/{relationshipId}/consent-requirements","Consultar requisitos/texto B2 aplicable","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1500"
"A_OPERACION_09","API-CON-02","POST /api/v1/relationships/{relationshipId}/consents","Otorgar B2","P0","CONTRADICE","POST /api/v1/auth/activacion/:token [CONTRADICE]","Fija contraseña y otorga TERMINOS + DATOS_SALUD en un único acto (auth.service.ts:36). El 09 separa aceptación de términos y de privacidad (ACC-01) y otorga B2 solo sobre un vínculo (CON-02).","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1570"
"A_OPERACION_09","API-CON-03","GET /api/v1/me/consents?limit=&cursor=&state=&scope=","Listar consentimientos propios","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1664"
"A_OPERACION_09","API-CON-04","POST /api/v1/me/consents/{consentId}/revoke","Revocar B2","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1699"
"A_OPERACION_09","API-CRD-01","POST /advisees/{id}/coordination-notes (prosa, sin prefijo /api/v1)","Registrar nota de coordinación","P0","NO_EXISTE","","","BE_LEG_09_v0.14/v0.15 tabla RF-057"
