ID,Categoría,Título,Componente (04),Prioridad (04),Obligación (04)
RNF-SEC-001,SEC,Autorización consistente para recursos protegidos,Backend y superficies cliente,P0 — Núcleo no recortable,Toda lectura o escritura protegida deberá someterse a la política contextual vigente y producir el mismo resultado con independencia del canal usado.
RNF-SEC-002,SEC,"Protección de credenciales, sesiones y secretos","Identidad, backend e infraestructura",P0 — Núcleo no recortable,"Credenciales, sesiones y secretos deberán tratarse de forma que una filtración de repositorio, logs o cliente no exponga valores reutilizables."
RNF-SEC-003,SEC,Resistencia a abuso de autenticación y recuperación,Identidad,P0 — Núcleo no recortable,"Los recorridos de acceso y recuperación deberán limitar abuso automatizado, enumeración y reutilización de pruebas temporales."
RNF-SEC-004,SEC,Separación de ambientes,Infraestructura y datos,P0 — Núcleo no recortable,"Development, test y production deberán estar separados, con configuración y datos acordes a cada propósito."
RNF-SEC-005,SEC,Auditoría de operaciones sensibles,"Identidad, autorización y dominios",P0 — Núcleo no recortable,"Accesos y cambios sensibles deberán dejar evidencia suficiente para atribuir actor, momento, operación, sujeto y resultado."
RNF-SEC-006,SEC,Mínimo privilegio y segregación por dominio,Autorización,P0 — Núcleo no recortable,"Cada actor deberá recibir solo capacidades y contexto necesarios para su especialidad, vínculo, finalidad y estado."
RNF-PRI-001,PRI,Minimización y pertinencia,"Producto, datos e interfaces",P0 — Núcleo no recortable,"BE solo deberá solicitar, mostrar y conservar datos que apoyen una decisión, obligación o experiencia aprobada."
RNF-PRI-002,PRI,Revocación efectiva y verificable,Autorización y auditoría,P0 — Núcleo no recortable,Una revocación deberá cortar accesos futuros del alcance y ser verificable sin borrar silenciosamente evidencia histórica.
RNF-PRI-003,PRI,Visibilidad adecuada a cada superficie,"Website, APK y comunicaciones",P0 — Núcleo no recortable,"Cada superficie deberá exponer solo la información necesaria para el actor y contexto, evitando datos administrativos o sensibles no requeridos."
RNF-PERF-001,PERF,Rendimiento de operaciones núcleo,Backend y base de datos,P0 — Núcleo no recortable,Las operaciones núcleo deberán responder dentro de un presupuesto medible bajo un perfil de carga piloto documentado.
RNF-PERF-002,PERF,Respuesta percibida de Website y APK,Website y APK,P1 — Alta prioridad,Las superficies deberán mostrar estado visible sin bloqueo prolongado y completar el contenido principal del recorrido núcleo dentro de un presupuesto definido.
RNF-PERF-003,PERF,Tiempo acotado y fallback de integraciones,Integraciones externas,P0 — Compromiso académico de integración,Una llamada externa no deberá bloquear indefinidamente una operación interactiva y deberá terminar en respuesta útil o fallback.
RNF-AVA-001,AVA,Disponibilidad durante validación y defensa,Solución desplegada,P0 — Núcleo no recortable,Los recorridos núcleo deberán estar operativos durante las ventanas programadas de validación y defensa sin depender de terceros no esenciales.
RNF-AVA-002,AVA,Persistencia después de reinicio,Backend y datos,P0 — Núcleo no recortable,Un reinicio de servicios no deberá perder operaciones confirmadas ni exigir reconstrucción manual del estado ordinario.
RNF-REC-001,REC,Copia y restauración verificable,Datos e infraestructura,P1 — Alta prioridad condicionada al uso de datos autorizados,Antes de utilizar datos autorizados en piloto o defensa deberá existir un mecanismo de copia y una restauración probada en ambiente seguro. Este requisito solo podrá diferirse si también se difiere el uso de datos autorizados y se trabaja exclusivamente con datos sintéticos o anonimizados conforme a 08 y 11A.
RNF-REC-002,REC,Idempotencia de operaciones sensibles,Backend y datos,P0 — Núcleo no recortable,"Reintentos o concurrencia no deberán duplicar invitaciones, consentimientos, activaciones, ejecuciones, adherencias o decisiones."
RNF-REL-001,REL,Ausencia de éxito falso y recuperación comprensible,Todas las superficies,P0 — Núcleo no recortable,BE no deberá presentar una operación como exitosa sin confirmación del estado persistido y deberá ofrecer una salida comprensible ante fallas recuperables.
RNF-ACC-001,ACC,Accesibilidad en recorridos núcleo,Website y APK,P0 — Núcleo no recortable,"Los recorridos núcleo deberán satisfacer un conjunto declarado de criterios aplicables de accesibilidad, tomando WCAG 2.2 AA como marco de referencia, sin afirmar certificación integral del producto."
RNF-ACC-002,ACC,"Lenguaje claro, no diagnóstico y no causal",Contenido y UI,P0 — Núcleo no recortable,"Los textos deberán ser comprensibles, coherentes con el glosario y evitar diagnóstico, causalidad no sustentada o urgencia clínica."
RNF-ACC-003,ACC,Adaptación a las superficies objetivo,Website y APK,P0 — Núcleo no recortable,El Website profesional y administrativo y la APK Android deberán ser operables en la matriz de dispositivos definida sin pérdida de acciones esenciales.
RNF-PORT-001,PORT,APK instalable y demostrable en Android físico,Aplicación móvil,P0 — Núcleo no recortable,La aplicación del asesorado deberá generar un artefacto instalable y operar los recorridos núcleo en al menos un dispositivo Android físico objetivo.
RNF-MAN-001,MAN,Separación de responsabilidades y fuente única de reglas,Código y solución,P0 — Núcleo no recortable,"Las reglas críticas deberán tener un propietario identificable y comportarse igual para Website, APK e integraciones."
RNF-MAN-002,MAN,Contratos compatibles y verificables,"API, Website y APK",P0 — Núcleo no recortable,Las interfaces entre componentes deberán permitir detectar cambios incompatibles antes de la demostración o despliegue.
RNF-MAN-003,MAN,Evolución reproducible del esquema y los datos,Datos e infraestructura,P0 — Núcleo no recortable,Los cambios autorizados sobre persistencia deberán poder reproducirse y transicionar datos sin pérdidas no declaradas.
RNF-MAN-004,MAN,Testabilidad proporcional al riesgo,"Producto, código y pruebas",P0 — Núcleo no recortable,"Los comportamientos P0 y sus invariantes deberán poder verificarse de forma independiente y repetible, incluyendo fallas relevantes y autorizaciones negativas."
RNF-OBS-001,OBS,Diagnóstico sin exposición de datos sensibles,Backend e infraestructura,P1 — Alta prioridad,La solución deberá permitir rastrear fallas e incidentes sin registrar secretos o contenido de salud innecesario.
RNF-OBS-002,OBS,Salud técnica mínima del despliegue,Infraestructura,P1 — Alta prioridad,El despliegue deberá exponer evidencia suficiente para distinguir servicio operativo de dependencia no disponible.
RNF-OBS-003,OBS,Trazabilidad bidireccional,"Documentación, código y pruebas",P0 — Núcleo no recortable,"Cada requisito aprobado deberá vincularse con decisiones, casos de uso, diseño y pruebas; cada evidencia deberá indicar qué obligación demuestra."
RNF-INT-001,INT,Sustituibilidad de proveedores externos,Arquitectura e integraciones,P1 — Alta prioridad,Las capacidades externas deberán poder reemplazarse o desactivarse sin reescribir los circuitos de producto.
RNF-INT-002,INT,"Consistencia de fechas, períodos, unidades y zona horaria",Todos los dominios,P0 — Núcleo no recortable,"BE deberá interpretar fechas, ventanas y unidades de forma consistente y mostrar el período usado en cálculos y comparaciones."
RNF-INT-003,INT,Validación y normalización de importaciones,Catálogos e integraciones,P0 — Compromiso académico de integración,Los datos externos deberán validarse y normalizarse antes de incorporarse a catálogos BE.
