T-06,concepto,área,estado,vistas,motivo_con_ubicación
T-06-01,Identidad BE,M-01,REPRESENTADO,01_IDENTIDAD,
T-06-02,Estado operativo de cuenta,M-01,REPRESENTADO COMO ATRIBUTO,token OPERATIVA|SUSPENDIDA|CERRADA) y como máquina DV-07.E1,enumeración de EstadoCuenta representada como atributo tipado de Identidad BE (token OPERATIVA|SUSPENDIDA|CERRADA) y como máquina DV-07.E1
T-06-03,Método de acceso,M-01,REPRESENTADO,01_IDENTIDAD,
T-06-04,Perfil (propio / profesional),M-01/M-02,REPRESENTADO,01_IDENTIDAD 02_PROFESIONAL,
T-06-05,Cierre de cuenta,M-01/M-04,REPRESENTADO,01_IDENTIDAD,
T-06-06,Incidencia administrativa,M-01,REPRESENTADO,01_IDENTIDAD,
T-06-07,Novedad interna,M-01,REPRESENTADO,01_IDENTIDAD,
T-06-08,Notificación push no sensible,M-01,REPRESENTADO,01_IDENTIDAD,
T-06-09,Especialidad,M-02,REPRESENTADO,02_PROFESIONAL,
T-06-10,Capacidad antropométrica transversal,M-02/M-09,REPRESENTADO,02_PROFESIONAL,
T-06-11,Verificación profesional,M-02,REPRESENTADO,02_PROFESIONAL,
T-06-12,Observación / subsanación,M-02,REPRESENTADO,02_PROFESIONAL,
T-06-13,Habilitación,M-02/M-05,REPRESENTADO,02_PROFESIONAL,
T-06-14,Capacidad configurada,M-05,REPRESENTADO,02_PROFESIONAL 05_PROCESO,
T-06-15,Vínculo,M-03,REPRESENTADO,03_VINCULO,
T-06-16,Solicitud de vínculo,M-03,REPRESENTADO,03_VINCULO,
T-06-17,Consentimiento vigente,M-03,REPRESENTADO,03_VINCULO,
T-06-18,Revocación de consentimiento,M-03,REPRESENTADO,03_VINCULO,
T-06-19,Autorización contextual,M-03/M-11,REPRESENTADO,03_VINCULO,
T-06-20,Versión,M-06,REPRESENTADO,04_VERSIONADO,
T-06-21,Instantánea reproducible (snapshot),M-06,REPRESENTADO,04_VERSIONADO,
T-06-22,Corrección trazable,M-06,REPRESENTADO,04_VERSIONADO,
T-06-23,Procedencia,M-06,REPRESENTADO,04_VERSIONADO,
T-06-24,Momento de ocurrencia / Momento de registro,M-06/M-11,REPRESENTADO,04_VERSIONADO,
T-06-25,Proceso (operativo abierto / vigente / nuevo),M-04,REPRESENTADO,05_PROCESO,
T-06-26,Activación de plan,M-04/M-07/M-08,REPRESENTADO,05_PROCESO,
T-06-27,Objetivo vigente,M-07/M-08,REPRESENTADO,06_NUTRICION 07_ENTRENAMIENTO,
T-06-28,Plan profesional / Plan nutricional,M-07/M-08,REPRESENTADO,06_NUTRICION 07_ENTRENAMIENTO,
T-06-29,Borrador de plan · Versión activada,M-07/M-08,REPRESENTADO,07_ENTRENAMIENTO,
T-06-30,Adherencia o ejecución registrada,M-07/M-08,REPRESENTADO,06_NUTRICION,
T-06-31,Catálogo propio · Importación controlada,M-07/M-08,REPRESENTADO,06_NUTRICION 07_ENTRENAMIENTO,
T-06-32,Bloque de entrenamiento · Prescripción de entrenamiento · Ejecución real,M-08,REPRESENTADO,07_ENTRENAMIENTO,
T-06-33,Medición antropométrica directa · Protocolo identificado,M-09,REPRESENTADO,08_ANTROPOMETRIA,
T-06-34,Cálculo antropométrico derivado,M-09,REPRESENTADO,08_ANTROPOMETRIA,
T-06-35,Evolución antropométrica,M-09/M-11,REPRESENTADO,08_ANTROPOMETRIA,
T-06-36,Servicio antropométrico limitado · Ubicación utilizable,M-09,REPRESENTADO,08_ANTROPOMETRIA,
T-06-37,Revisión profesional válida,M-10,REPRESENTADO,09_REVISION,
