"fila","modelo_prisma","tabla_db","schema_linea","termino_T06_principal","terminos_T06_relacionados","naturaleza_06","clasificacion","conflicto","justificacion_y_evidencia"
"1","Cuenta","cuentas","schema.prisma:72","T-06-01 Identidad BE (06 L194)","T-06-02 Estado operativo de cuenta (06 L195) | T-06-03 Método de acceso (06 L196)","ENTIDAD","PARCIAL","NO","Mismo concepto (identidad persistente), distinto nombre. Estado de cuenta = booleano `activo` + `deletedAt`, sin enum ni transiciones (T-06-02 exige enum técnico y transiciones). Método de acceso embebido (email + passwordHash) sin entidad propia (T-06-03). `rolSistema` vive en la cuenta."
"2","Perfil","perfiles","schema.prisma:97","T-06-04 Perfil (propio / profesional) (06 L197)","","ENTIDAD","PARCIAL","SI","Nombre coincide. T-06-04 define ""estructura conceptual y su historia""; el código sobrescribe (solo updatedAt, sin historia). Solo cubre el perfil del asesorado (el profesional está en `Profesional`). Mezcla alérgenos/preferencias alimentarias y `objetivoGeneral`. Su `id` funciona como identificador del asesorado en todo el schema."
"3","PerfilNutricional","perfiles_nutricionales","schema.prisma:131","(sin T-06) unidad 7.6-01 ""estructura de evaluación nutricional"" (06 L866, depende de M-06)","T-06-27 Objetivo vigente (06 L220)","ENTIDAD","PARCIAL","SI","Concepto afín a la evaluación nutricional del 06, que no tiene término T-06 propio y depende del patrón de versionado M-06. El código hace upsert único por asesorado (sobrescribe) con objetivo en texto libre. Contradice el patrón de versión inmutable."
"4","Profesional","profesionales","schema.prisma:147","T-06-04 Perfil (propio / profesional) (06 L197)","T-06-11 Verificación profesional (06 L204) | T-06-36 Servicio antropométrico limitado · Ubicación utilizable (06 L229) [AUSENTE EN CÓDIGO]","ENTIDAD","PARCIAL","SI","Perfil profesional. La verificación es un booleano `certificado` global; T-06-11 exige máquina de estados POR ALCANCE con al menos PENDIENTE/VERIFICADO/RECHAZADO/SUSPENDIDO. `ubicacion` y `modalidad` en texto libre son fragmentos de T-06-36 sin estructura."
"5","Admin","admins","schema.prisma:171","—","","ENTIDAD","AUSENTE_EN_06","NO","El 06 trata al administrador como actor (p. ej. revisión administrativa, L493), no como entidad de dominio con término T-06. `nivelAcceso` texto libre."
"6","Especialidad","especialidades","schema.prisma:188","T-06-09 Especialidad (06 L202)","T-06-10 Capacidad antropométrica transversal (06 L203) [AUSENTE EN CÓDIGO]","ENTIDAD","PARCIAL","SI","Nombre coincide, concepto distinto: T-06-09 es la RELACIÓN identidad↔especialidad↔alcance con su máquina de verificación; el código es un catálogo. El comentario del schema y el seed incluyen HEALTH_COACH, que no aparece en el 06 (0 coincidencias de ""coach""). No modela la Capacidad antropométrica transversal (T-06-10, INV-06-02 L385)."
"7","ProfesionalEspecialidad","profesional_especialidades","schema.prisma:205","T-06-09 Especialidad (06 L202)","T-06-11 Verificación profesional (06 L204) | T-06-13 Habilitación (06 L206)","ENTIDAD","PARCIAL","SI","Es la relación profesional↔especialidad. Un único booleano `habilitado` fusiona verificación y habilitación; T-06-13 exige ""modelo separado de verificación y autorización"" e INV-06-01 (L384) exige verificación ≠ habilitación. Sin estados, sin alcance, sin historia de presentaciones (T-06-12)."
"8","EspecialidadPermiso","especialidad_permisos","schema.prisma:222","T-06-19 Autorización contextual (06 L212)","T-06-45 Alcance (06 L238)","ENTIDAD","PARCIAL","NO","Matriz especialidad × dominio con lee/escribe binario: es un insumo de la autorización contextual, que en el 06 combina siete dimensiones (RF-021). El dominio es un aproximado de Alcance (T-06-45). Sin finalidad ni capacidades."
"9","AsignacionProfesional","asignaciones_profesionales","schema.prisma:236","T-06-15 Vínculo (06 L208)","T-06-16 Solicitud de vínculo (06 L209) | T-06-45 Alcance (06 L238)","ENTIDAD","PARCIAL","SI","Mismo concepto (vínculo), distinto nombre y estructura. 06 §7.5 (L3086): Vínculo agrupa 1..N componentes por Alcance con estados ACEPTADO/PAUSADO/FINALIZADO y nace por AceptarAlcanceDeVinculo (actor: asesorado) desde una Solicitud ACEPTADA. Código: una fila por profesional+especialidad con PENDIENTE_APROBACION/ACTIVO/PAUSADO/FINALIZADO, sin finalidad; el alta la hace el profesional creando ACTIVO sin aceptación (asesorados.service.ts:126). `esLider` (coordinación) no tiene término en el 06."
"10","EventoSalud","eventos_salud","schema.prisma:269","—","T-06-24 Momento de ocurrencia / Momento de registro (06 L217) | T-06-22 Corrección trazable (06 L215) | T-06-42 Cartera profesional · Dashboard interdisciplinario · Línea temporal longitudinal · Progreso longitudinal propio (06 L235)","ENTIDAD","AUSENTE_EN_06","TENSION","El 06 no nombra un índice longitudinal persistente (0 coincidencias de EventoSalud/índice longitudinal). Cubre partes: par ocurrencia/registro (T-06-24: fechaEvento + createdAt), corrección trazable (T-06-22: anulaEventoId + ANULADO, sin motivo) y Línea temporal (T-06-42, definida como PROYECCIÓN sin autoridad de escritura, L235). En el código es el padre estructural de todo detalle (FK `eventoId @unique`). Es el invariante 1 del CLAUDE.md: decisión central de H-07-DOM-01."
"11","MedicionAntropometrica","mediciones_antropometricas","schema.prisma:317","T-06-33 Medición antropométrica directa · Protocolo identificado (06 L226)","T-06-34 Cálculo antropométrico derivado (06 L227)","ENTIDAD","PARCIAL","SI","Medición directa con pliegues/circunferencias/diámetros. Sin protocolo identificado (T-06-33). Derivados (imc, %grasa, tmb, get) en la MISMA fila con `metodoCalculo` en texto libre; T-06-34 exige especificación versionada, dependencias de entrada por versión y recálculo sin sobrescritura."
"12","MedicionBiometrica","mediciones_biometricas","schema.prisma:364","—","","ENTIDAD","AUSENTE_EN_06","NO","Peso, presión arterial y frecuencia cardíaca. El 06 no contiene biometría (0 coincidencias de biometr/presión arterial/frecuencia cardíaca) y el 09 tampoco. `fuente` MANUAL|WEARABLE es un fragmento de procedencia."
"13","RegistroAdherencia","registros_adherencia","schema.prisma:385","T-06-30 Adherencia o ejecución registrada (06 L223)","T-06-61 Condición de sesión (06 L5036) | T-06-63 Esfuerzo percibido (06 L5038)","ENTIDAD","PARCIAL","SI","Registro de adherencia/ejecución (nutrición y entrenamiento). Persiste `porcentaje` 0-100 ""calculado"" (SALTEADA→0, COMPLETADA→100); T-06-30 exige ""sin fórmulas de puntuación"" y el 09 (CAND-09-NUT-C, ""derivada del canon"") prohíbe `adherencePercent`. `estadoSesion` ≈ Condición de sesión (T-06-61); `sensacion` ≈ esfuerzo percibido (T-06-63). `detalleJson` sin estructura."
"14","MedicionRendimiento","mediciones_rendimiento","schema.prisma:406","(sin T-06) Marca personal, REG-06-182 (06 L6788)","T-06-32 Bloque de entrenamiento · Prescripción de entrenamiento · Ejecución real (06 L225)","ENTIDAD","PARCIAL","SI","Test/PR cargado manualmente como medición. El 06 define la Marca personal como DERIVADA de ejecuciones efectivamente registradas bajo un criterio explícito (REG-06-182), no como dato cargado."
"15","SerieRealizada","series_realizadas","schema.prisma:420","T-06-71 Serie ejecutada estructurada (06 L5053)","T-06-60 Sustitución de ejercicio (06 L5035) | T-06-63 Esfuerzo percibido (06 L5038)","ENTIDAD","PARCIAL","NO","Serie ejecutada con carga, reps y RIR real (T-06-71). Sustitución con ejercicioRealId + motivo (T-06-60). Carga solo en kg, sin unidad. Cuelga de RegistroAdherencia en vez de una entidad de Ejecución real. 1RM estimado persistido con fórmula (derivado reproducible)."
"16","RegistroDolor","registros_dolor","schema.prisma:443","—","","ENTIDAD","AUSENTE_EN_06","NO","Dolor autodeclarado (dominio BIENESTAR). El 06 no tiene dolor ni bienestar (0 coincidencias); el 09 tampoco."
"17","RegistroCheckin","registros_checkin","schema.prisma:459","—","","ENTIDAD","AUSENTE_EN_06","NO","Check-in de bienestar (sueño, energía, estrés, ánimo, hambre, pasos). Sin equivalente en el 06 ni en el 09."
"18","RegistroConsumo","registros_consumo","schema.prisma:477","T-06-54 Ingesta registrada (06 L4151)","T-06-56 Modalidad de prescripción y registro nutricional (06 L4153) [AUSENTE EN CÓDIGO]","ENTIDAD","PARCIAL","SI","Ingesta registrada fuera del plan. T-06-54 incluye ""la descripción libre""; el 09 v0.15 hace P0 la modalidad C (FREE_DESCRIPTION fuera de prescripción, estructurable después por el profesional). El código exige ≥1 alimento (DTO ArrayMinSize(1) + 422 en el servicio) y kcalTotal obligatorio: una descripción libre sin cuantificar no es representable. Sin discriminador de modalidad (T-06-56)."
"19","RegistroConsumoAlimento","registros_consumo_alimentos","schema.prisma:494","T-06-54 Ingesta registrada (06 L4151)","","ATRIBUTO","PARCIAL","NO","Componente cuantificado de la ingesta (alimento + gramos)."
"20","FotoProgreso","fotos_progreso","schema.prisma:519","—","T-06-65 Evidencia visual de ingesta (06 L4171) [AUSENTE EN CÓDIGO]","ENTIDAD","AUSENTE_EN_06","NO","Foto corporal (puntero `storageKey`). El 06 no tiene fotos corporales; T-06-65 ""Evidencia visual de ingesta"" es otra cosa (foto de comida). El 09 deja media privada como ""outlined"" sin ID."
"21","PlanNutricion","planes_nutricion","schema.prisma:531","T-06-28 Plan profesional / Plan nutricional (06 L221)","T-06-29 Borrador de plan · Versión activada (06 L222) | T-06-26 Activación de plan (06 L219) | T-06-20 Versión (06 L213)","ENTIDAD","PARCIAL","NO","Plan con estados BORRADOR/ACTIVO/FINALIZADO y activación transaccional con snapshot (T-06-26). No existe una Versión de plan separada ni sucesión de versiones entre planes activos (el código lo declara ""misión posterior"", nutricion.service.ts:609). Solo se edita en BORRADOR: lo activado no se reabre."
"22","PlanNutricionSnapshot","plan_nutricion_snapshots","schema.prisma:574","T-06-21 Instantánea reproducible (snapshot) (06 L214)","","ENTIDAD","PARCIAL","NO","Mismo concepto, distinto nombre: instantánea inmutable al activar con valores nutricionales copiados y schemaVersion. Cumple la intención de T-06-21."
"23","Comida","comidas","schema.prisma:586","T-06-49 Opción de comida (06 L4146)","T-06-48 Comida (06 L4145)","ENTIDAD","PARCIAL","SI","COLISIÓN DE NOMBRE. El `Comida` del código es una variante (`esOpcionDefault`) dentro de un slot: en el 06 eso es ""Opción de comida"" (T-06-49). El ""Comida"" del 06 (T-06-48) es el nivel que en el código es `SlotPlanComida`. Jerarquía 06: Versión → Día tipo → Comida → Opción → Ítem (REG-06-118, L4551)."
"24","Alimento","alimentos","schema.prisma:606","T-06-31 Catálogo propio · Importación controlada (06 L224)","T-06-55 Atributo nutricional extendido (06 L4152) [AUSENTE EN CÓDIGO]","ENTIDAD","PARCIAL","NO","Catálogo de alimentos con macros por 100 g y autor. Sin estado de ciclo, procedencia externa (Open Food Facts), importación controlada ni versión. Sin atributo nutricional extendido con procedencia (T-06-55)."
"25","ComidaAlimento","comida_alimentos","schema.prisma:627","T-06-50 Ítem prescripto (06 L4147)","T-06-53 Estado de preparación (06 L4150) [AUSENTE EN CÓDIGO]","ATRIBUTO","PARCIAL","SI","Ítem prescripto (alimento + gramos). T-06-53 declara el Estado de preparación como ""condición obligatoria de todo Ítem prescripto con cantidad"": el código no lo tiene."
"26","SlotPlanComida","slots_plan_comida","schema.prisma:669","T-06-48 Comida (06 L4145)","T-06-47 Día tipo (06 L4144) [AUSENTE EN CÓDIGO]","ENTIDAD","PARCIAL","SI","Equivale al nivel ""Comida"" del 06 (momento del día con horario y objetivos). Cuelga directo del plan: falta el nivel obligatorio Día tipo [1..N] (T-06-47, REG-06-118)."
"27","ComidaPlantilla","comida_plantillas","schema.prisma:686","—","T-06-31 Catálogo propio · Importación controlada (06 L224)","ENTIDAD","AUSENTE_EN_06","NO","Librería de comidas reutilizables. El 06 no tiene plantillas (0 coincidencias). Se copia por snapshot al plan."
"28","ComidaPlantillaAlimento","comida_plantilla_alimentos","schema.prisma:705","—","","ATRIBUTO","AUSENTE_EN_06","NO","Detalle de ComidaPlantilla."
"29","PlanEntrenamiento","planes_entrenamiento","schema.prisma:718","T-06-28 Plan profesional / Plan nutricional (06 L221)","T-06-29 Borrador de plan · Versión activada (06 L222) | T-06-26 Activación de plan (06 L219) | T-06-21 Instantánea reproducible (snapshot) (06 L214)","ENTIDAD","PARCIAL","SI","Homólogo M-08 del plan. El estado lo puede fijar el cliente al crear (DTO `estado` opcional con IsEnum, crear-plan-entrenamiento.dto.ts:195-197; eventos-salud.service.ts:1081): puede nacer ACTIVO sin transición de activación (T-06-26) ni snapshot (T-06-21). Nutrición, en cambio, fija BORRADOR en el servidor (eventos-salud.service.ts:945)."
"30","SesionEntrenamiento","sesiones_entrenamiento","schema.prisma:741","T-06-32 Bloque de entrenamiento · Prescripción de entrenamiento · Ejecución real (06 L225)","T-06-57 Microciclo (06 L5032) [AUSENTE EN CÓDIGO]","ENTIDAD","PARCIAL","SI","JERARQUÍA INVERTIDA. 06 (L5384-5390): Plan → Bloque → Microciclo [0..N] → Sesión → Prescripción. Código: Plan → Sesión → Bloque → Serie → Set. En el código la sesión cuelga del plan y contiene bloques."
"31","BloqueRutina","bloques_rutina","schema.prisma:756","T-06-32 Bloque de entrenamiento · Prescripción de entrenamiento · Ejecución real (06 L225)","T-06-58 Propósito de bloque o microciclo (06 L5033) [AUSENTE EN CÓDIGO]","ENTIDAD","PARCIAL","SI","COLISIÓN DE NOMBRE. En el 06 el Bloque es un nivel de periodización POR ENCIMA de Microciclo y Sesión, con propósito declarado (T-06-58). En el código `BloqueRutina` es una sección DENTRO de una sesión (""Calentamiento"", ""Fuerza principal"")."
"32","Ejercicio","ejercicios","schema.prisma:768","T-06-31 Catálogo propio · Importación controlada (06 L224)","T-06-64 Recurso didáctico de catálogo (06 L4170) [AUSENTE EN CÓDIGO]","ENTIDAD","PARCIAL","NO","Catálogo propio de ejercicios. Sin procedencia externa (wger), importación controlada, estado ni versión. `grupoMuscular` en texto libre (legacy)."
