ID_relacion,figura,origen,destino,card_origen,card_destino,tipo,regla_fuente,tipo_fuente,texto_literal_fuente,nota_derivacion,estado,secciones_06
R001,DV-06_01,Identidad BE,Perfil propio,1,1,asociación,"06 §5.12, L2392–L2407",EXPRESA,"### 5.12. Relaciones y multiplicidades de M-01

| Relación | Multiplicidad | Condición |
|---|---|---|
| Identidad BE — Perfil propio | `1 : 1` tras registro exitoso | Perfil propio no crea identidad paralela |
| Identidad BE — Versión de Perfil propio | `1 : 1..N` a través del Perfil propio | una efectiva; previas preservadas |
| Identidad BE — Método de acceso | `1 : 0..N` | cada método vigente se asocia como máximo a una identidad |
| Identidad BE — Estado operativo de cuenta | `1 : 1` | token de la máquina de §7 |
| Identidad BE — Incidencia administrativa como reportante | `1 : 0..N` | acceso/visibilidad en 08 |
| Incidencia administrativa — responsable administrativo | `1 : 0..1` vigente | asignación/política en 08 |
| Novedad interna — referencia push | `1 : 0..N` | cada aviso referencia una sola novedad |

No se modela Perfil profesional como hijo de Perfil propio. Ambos se relacionan con la misma Identidad BE desde áreas distintas.

---",Identidad confirmada y Perfil propio: 1:1 expresamente declarado. No implica borrado en cascada.,ACTIVA,5.12
R002,DV-06_01,Identidad BE,Método de acceso,1,0..N,asociación,"06 §5.12, L2392–L2407",EXPRESA,"### 5.12. Relaciones y multiplicidades de M-01

| Relación | Multiplicidad | Condición |
|---|---|---|
| Identidad BE — Perfil propio | `1 : 1` tras registro exitoso | Perfil propio no crea identidad paralela |
| Identidad BE — Versión de Perfil propio | `1 : 1..N` a través del Perfil propio | una efectiva; previas preservadas |
| Identidad BE — Método de acceso | `1 : 0..N` | cada método vigente se asocia como máximo a una identidad |
| Identidad BE — Estado operativo de cuenta | `1 : 1` | token de la máquina de §7 |
| Identidad BE — Incidencia administrativa como reportante | `1 : 0..N` | acceso/visibilidad en 08 |
| Incidencia administrativa — responsable administrativo | `1 : 0..1` vigente | asignación/política en 08 |
| Novedad interna — referencia push | `1 : 0..N` | cada aviso referencia una sola novedad |

No se modela Perfil profesional como hijo de Perfil propio. Ambos se relacionan con la misma Identidad BE desde áreas distintas.

---",Una identidad admite 0..N métodos; cada método confirmado pertenece como máximo a una identidad. El extremo 1 corresponde a métodos ya asociados.,ACTIVA,5.12
R003,DV-06_01,Identidad BE,Incidencia administrativa,1,0..N,asociación,"06 §5.12, L2392–L2407",EXPRESA,"### 5.12. Relaciones y multiplicidades de M-01

| Relación | Multiplicidad | Condición |
|---|---|---|
| Identidad BE — Perfil propio | `1 : 1` tras registro exitoso | Perfil propio no crea identidad paralela |
| Identidad BE — Versión de Perfil propio | `1 : 1..N` a través del Perfil propio | una efectiva; previas preservadas |
| Identidad BE — Método de acceso | `1 : 0..N` | cada método vigente se asocia como máximo a una identidad |
| Identidad BE — Estado operativo de cuenta | `1 : 1` | token de la máquina de §7 |
| Identidad BE — Incidencia administrativa como reportante | `1 : 0..N` | acceso/visibilidad en 08 |
| Incidencia administrativa — responsable administrativo | `1 : 0..1` vigente | asignación/política en 08 |
| Novedad interna — referencia push | `1 : 0..N` | cada aviso referencia una sola novedad |

No se modela Perfil profesional como hijo de Perfil propio. Ambos se relacionan con la misma Identidad BE desde áreas distintas.

---","Identidad como reportante, no como sujeto clínico de la incidencia. Cardinalidades expresas.",ACTIVA,5.12
R004,DV-06_01,Identidad BE,Novedad interna,,,retirada,"06 §5.11.1, L2326–L2343",RETIRADA_NO_SUSTENTADA,"#### 5.11.1. Novedad interna (`T-06-07`)

`Novedad interna` representa contenido operativo **no clínico** consultable desde el centro interno de BE.

Estructura conceptual mínima:

| Elemento conceptual | Regla |
|---|---|
| identificador | estable |
| contenido autorizado | no clínico y no sensible según política |
| fuente o autoría | identificable |
| momento de publicación/ocurrencia | conservado |
| momento de registro | conservado cuando difiera |
| audiencia | referencia estructural para que 08 evalúe visibilidad |
| procedencia | conservada |

B-01 no define un ciclo de edición/publicación porque 04/05 no lo aprobaron como máquina.",Se retira la asociación de titularidad individual: audiencia estructural no prueba titularRef ni 1:0..N. Novedad conserva audiencia y visibilidad según 08; no se deriva una FK a una sola identidad.,RETIRADA,5.11.1
R005,DV-06_01,Novedad interna,Notificación push,1,0..N,referencia,"06 §5.12, L2392–L2407",EXPRESA,"### 5.12. Relaciones y multiplicidades de M-01

| Relación | Multiplicidad | Condición |
|---|---|---|
| Identidad BE — Perfil propio | `1 : 1` tras registro exitoso | Perfil propio no crea identidad paralela |
| Identidad BE — Versión de Perfil propio | `1 : 1..N` a través del Perfil propio | una efectiva; previas preservadas |
| Identidad BE — Método de acceso | `1 : 0..N` | cada método vigente se asocia como máximo a una identidad |
| Identidad BE — Estado operativo de cuenta | `1 : 1` | token de la máquina de §7 |
| Identidad BE — Incidencia administrativa como reportante | `1 : 0..N` | acceso/visibilidad en 08 |
| Incidencia administrativa — responsable administrativo | `1 : 0..1` vigente | asignación/política en 08 |
| Novedad interna — referencia push | `1 : 0..N` | cada aviso referencia una sola novedad |

No se modela Perfil profesional como hijo de Perfil propio. Ambos se relacionan con la misma Identidad BE desde áreas distintas.

---","Cada push referencia una Novedad; una Novedad puede originar 0..N push. Es referencia, no una segunda fuente clínica.",ACTIVA,5.12
R006,DV-06_01,Identidad BE,Cierre de cuenta,1,0..1,asociación,"06 §5.8.1, L2181–L2199",DERIVACION_JUSTIFICADA,"#### 5.8.1. Acto estructural

**`REG-06-24` — Cierre no destructivo.** `CerrarCuenta` produce un cambio operativo y eventos derivados, no un borrado histórico.

El cierre debe:

1. dejar `Estado operativo de cuenta = CERRADA`;
2. impedir nuevas sesiones;
3. impedir nuevas operaciones;
4. hacer que las sesiones activas dejen de ser utilizables conforme a 07/08;
5. solicitar la finalización trazable de vínculos activos mediante las máquinas que definan `M-03/M-04`;
6. preservar Identidad BE;
7. preservar Perfil propio y sus versiones;
8. preservar autorías e historia;
9. no borrar revisiones, planes, mediciones ni decisiones;
10. registrar `CuentaCerrada`.

B-01 no define el mecanismo de invalidación de sesión ni las transiciones de vínculo/proceso: declara el **efecto requerido de coordinación** para sus bloques propietarios.","Acto terminal de cierre de una identidad, no número de eventos de auditoría ni reintentos HTTP. El máximo uno se infiere de la terminalidad; el historial se preserva.",ACTIVA,5.8.1
R007,DV-06_02,Identidad BE,Especialidad,1,0..2,asociación,"06 §6.5, L2770–L2779",DERIVACION_JUSTIFICADA,"### 6.5. Especialidad, capacidad y Alcance

Las Especialidades iniciales son exclusivamente Nutrición y Entrenamiento. Una Identidad puede declarar cero, una o ambas.

La `Capacidad antropométrica transversal` es independiente, puede existir con cero Especialidades y nunca se representa como tercera Especialidad.

**`REG-06-32` — Alcance disjunto.** Un `Alcance` referencia exactamente una Especialidad **o** la Capacidad antropométrica transversal, nunca ambas.

Cada Alcance se administra, evidencia, verifica, suspende y rehabilita por separado.","Se corrige el propietario a Identidad BE. Cero, una o ambas especialidades son expresas; 1 identifica la pertenencia contextual de la declaración, no la propiedad exclusiva del catálogo de especialidades.",ACTIVA,6.5
R008,DV-06_02,Identidad BE,Capacidad antropométrica,1,0..1,asociación,"06 §6.5, L2770–L2779",DERIVACION_JUSTIFICADA,"### 6.5. Especialidad, capacidad y Alcance

Las Especialidades iniciales son exclusivamente Nutrición y Entrenamiento. Una Identidad puede declarar cero, una o ambas.

La `Capacidad antropométrica transversal` es independiente, puede existir con cero Especialidades y nunca se representa como tercera Especialidad.

**`REG-06-32` — Alcance disjunto.** Un `Alcance` referencia exactamente una Especialidad **o** la Capacidad antropométrica transversal, nunca ambas.

Cada Alcance se administra, evidencia, verifica, suspende y rehabilita por separado.","Se corrige el propietario a Identidad BE. La capacidad antropométrica puede existir sin especialidades; 0..1 representa su declaración por identidad, no verificaciones históricas.",ACTIVA,6.5
R009,DV-06_02,Alcance profesional,Verificación profesional,1,0..N,asociación,"06 §6.5, L2770–L2779; 06 §6.7, L2806–L2815",DERIVACION_JUSTIFICADA,"### 6.5. Especialidad, capacidad y Alcance

Las Especialidades iniciales son exclusivamente Nutrición y Entrenamiento. Una Identidad puede declarar cero, una o ambas.

La `Capacidad antropométrica transversal` es independiente, puede existir con cero Especialidades y nunca se representa como tercera Especialidad.

**`REG-06-32` — Alcance disjunto.** Un `Alcance` referencia exactamente una Especialidad **o** la Capacidad antropométrica transversal, nunca ambas.

Cada Alcance se administra, evidencia, verifica, suspende y rehabilita por separado.

### 6.7. Solicitud y evidencia

Una `Solicitud de verificación` conserva identificador, Identidad profesional, exactamente un Alcance, ordinal de presentación, Versión de evidencia, actor/autoría, ocurrencia/registro, procedencia y antecedente cuando exista.

**`REG-06-34` — Evidencia presentada como Versión.** Cada presentación confirmada usa B-06; presentar no equivale a aprobar y nunca sobrescribe evidencia revisada.

**`REG-06-35` — Una trayectoria pendiente equivalente.** Para una misma Identidad BE + Alcance solo existe una trayectoria `PENDIENTE`; una subsanación continúa esa trayectoria. Tras un rechazo, una nueva presentación permitida crea un ciclo relacionado, no borra el anterior.

**`REG-06-36` — Ciclo numerado sin límite fijado por 06.** B-02 conserva ordinal monotónico. No fija máximo ni plazo; 08 puede limitar la admisibilidad.",Se representa Alcance profesional en lugar de solo Especialidad. Cada solicitud verifica un alcance bajo identidad; nuevas presentaciones tras rechazo son ciclos distintos. No es 1:1 histórico.,ACTIVA,6.5;6.7
R010,DV-06_02,Verificación profesional,Observación / subsanación,1,0..N,composición,"06 §6.8, L2816–L2845",DERIVACION_JUSTIFICADA,"### 6.8. Máquina de Verificación profesional por Alcance

#### 6.8.1. Estados cerrados

```text
PENDIENTE
VERIFICADO
RECHAZADO
SUSPENDIDO
```

#### 6.8.2. Lista blanca

| Transición | Origen → destino | Actor | Condición | Efecto |
|---|---|---|---|---|
| `PresentarAlcance` | inicio → `PENDIENTE` | profesional | Alcance identificable + presentación válida | crea trayectoria y Versión |
| `RegistrarObservacion` | `PENDIENTE → PENDIENTE` | administrador | versión exacta revisada + fundamento | registra observación |
| `PresentarSubsanacion` | `PENDIENTE → PENDIENTE` | profesional | subsanación admitida | nueva Versión relacionada |
| `VerificarAlcance` | `PENDIENTE → VERIFICADO` | administrador | resolución favorable | afecta solo ese Alcance |
| `RechazarAlcance` | `PENDIENTE → RECHAZADO` | administrador | resolución desfavorable | conserva expediente |
| `VolverAPresentar` | `RECHAZADO → PENDIENTE` | profesional | nueva presentación admitida | nuevo ciclo relacionado |
| `SuspenderAlcance` | `VERIFICADO → SUSPENDIDO` | administrador | resolución explícita + motivo | corta nuevas operaciones |
| `RehabilitarAlcance` | `SUSPENDIDO → VERIFICADO` | administrador | resolución explícita | restaura solo verificación |

Toda transición no listada está prohibida.

**`REG-06-37` — Observación no es quinto estado.** Es un hecho/tarea trazable ligado a solicitud, Alcance, Versión revisada, fundamento y posibilidad de subsanación.

**`REG-06-38` — Resolución específica de Versión y Alcance.** Toda resolución identifica una única Versión efectivamente revisada y un único Alcance.",Observaciones como hechos ligados a solicitud/alcance/versión revisada. Cero o varias se infiere de su carácter eventual y subsanable; no se crea un quinto estado de verificación.,ACTIVA,6.8
