ID,RF,UC,Canal,Prioridad,Nivel,Escenario 11A,Precondiciones,Pasos,Datos de prueba (sintéticos),Resultado esperado (oráculo),Fuente propietaria,Estado,Evidencia
TEST-RF-001,RF-001,UC-P25,Transversal,P0,E2E,— (TEST-RF: escenario definido por el RF),Base sintética sin identidad para alta.demo@example.invalid; usuario no autenticado; registro local disponible. No se simula aceptación de A3 ni verificación profesional.,"1. Contar identidades asociadas al email: 0. 2. Completar el alta A y observar identificador propio y estado de cuenta. 3. Repetir el alta B con el mismo email. 4. Consultar el conteo: permanece 1, sin segunda identidad. 5. Comprobar que ninguna alta verificó especialidades, otorgó A3/B2 ni habilitó datos de terceros. Registrar respuesta neutra según 09, sin fijar un mensaje de duplicado que enumere cuentas.","Alta A: alias DEMO-A01, adulto sintético, email alta.demo@example.invalid y credencial generada solo para test conforme al validador vigente. Alta B: mismo email normalizado y otro alias DEMO-A02. Sin identidades de terceros vinculadas.",Con datos válidos se crea una sola identidad; un correo ya asociado no produce una segunda cuenta; el alta no verifica especialidades ni concede acceso a datos de terceros.,BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-006,RF-006,UC-P25 UC-P26,Transversal,P0,E2E,— (TEST-RF: escenario definido por el RF),"Tres identidades demo existentes, autenticables y con estados distintos. No usar como precondición la ausencia de identidad del registro inicial.","1. Entrar por separado con P0, P1 y P2. 2. Consultar estado de cuenta y perfil. 3. Registrar por dimensión perfil, verificación, habilitación y vínculo. 4. Verificar que P0 muestra pendientes, P1 no se muestra habilitado y P2 no muestra autorización sobre A01. 5. Intentar abrir el recurso protegido de A01 con cada identidad: no hay acceso por el solo estado del perfil.","DEMO-P0: perfil profesional incompleto, sin alcance verificado ni habilitación. DEMO-P1: Nutrición verificada, sin concesión de habilitación. DEMO-P2: Nutrición verificada/habilitada, sin vínculo con DEMO-A01. Mantener iguales las demás condiciones de acceso propio.","El usuario distingue cuenta, perfil, especialidad verificada, habilitación y vínculo; un estado incompleto no se presenta como habilitado.",BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-007,RF-007,UC-I11,Transversal,P0,E2E,— (TEST-RF: escenario definido por el RF),"Website y APK de test disponibles tras gate; identidades demo de administrador, profesional y asesorado. Solo recursos sintéticos.","1. Desde la entrada pública del Website iniciar sesión como ADM y como PN y navegar mediante menús a sus funciones. 2. En APK iniciar sesión como A01 y llegar a Hoy sin escribir rutas. 3. Intentar desde A01 el request administrativo directo identificado por 09, aunque no exista botón. 4. Verificar navegación prevista para cada actor y denegación server-side al rol indebido. No equiparar ocultar un menú con autorizar una operación.",DEMO-ADM con facultad administrativa; DEMO-PN con alcance Nutrición; DEMO-A01 con cuenta propia y A3. Sesiones independientes y una ruta administrativa del contrato disponible únicamente al rol pertinente.,El administrador y el profesional operan en Website; el asesorado accede a Hoy y sus funciones desde la APK; la visibilidad no reemplaza la autorización.,BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-010,RF-010,UC-P01,Website,P0,E2E,— (TEST-RF: escenario definido por el RF),"DEMO-PN autenticado, perfil existente, Nutrición declarada y sin verificación. Evidencia sintética claramente marcada como no válida para acreditación real.","1. Intentar presentar N0: no genera una presentación completa ni habilita el alcance. 2. Completar el requisito faltante y presentar N1. 3. Consultar identificador, versión de evidencia, fecha y estado PENDIENTE de esa presentación. 4. Intentar una operación profesional del alcance antes de resolución: denegada. 5. Comprobar que Entrenamiento no recibió verificación ni se alteró por presentar Nutrición.","Presentación N1: alcance Nutrición con conjunto mínimo de evidencia exigido por su política completo, ordinal 1; presentación N0: copia sin un requisito obligatorio. Entrenamiento no declarado. Documento sintético EVID-DEMO-N1 y reloj controlado T0.",La versión presentada queda identificada; el profesional conoce fecha y estado; no puede operar esa especialidad o capacidad mientras no alcance el estado habilitante definido.,BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-012,RF-012,UC-P02 UC-P03,Website,P0,E2E,— (TEST-RF: escenario definido por el RF),DEMO-ADM tiene sesión con facultad administrativa y autenticación reforzada aplicable; DEMO-PN tiene dos expedientes independientes.,"1. En rama A aprobar N1 y verificar VERIFICADO solo en Nutrición, con administrador/fecha/versión/fundamento. 2. En rama B rechazar N1 y verificar RECHAZADO con expediente preservado. 3. En rama C aprobar y después suspender explícitamente Nutrición con motivo; verificar SUSPENDIDO y denegación de nuevas operaciones del alcance. 4. En las tres ramas comprobar T1 sin cambios y que no se presenta la resolución BE como certificación oficial.","N1: Nutrición PENDIENTE, evidencia v1; T1: Entrenamiento PENDIENTE, evidencia v1. Tres ramas aisladas del fixture N1 para aprobar, rechazar y aprobar luego suspender. Motivos DEMO-RESOLUCION y DEMO-SUSPENSION; fecha T0; historial sintético previo consultable bajo autorización propia.",La resolución afecta solo la especialidad o capacidad seleccionada; una suspensión corta nuevas operaciones del alcance; el historial permanece consultable según política.,BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-070,RF-070,UC-I09 UC-I13 UC-P09 UC-P14,Website,P0,E2E,— (TEST-RF: escenario definido por el RF),DEMO-PN autorizado para finalidad de cálculo y fuentes de DEMO-A01. Método técnico MET-DEMO v1 disponible exclusivamente en test según FICHA_FIXTURES.md; no es una fórmula clínica ni un catálogo productivo.,"1. Inspeccionar versión y entradas exigidas. 2. Ejecutar v1 con M1 y luego M2; conservar ambos identificadores y snapshots, sin promedio. 3. Omitir BODY_WEIGHT: rechazar por inputs insuficientes. 4. Enviar MX: denegar sin revelar su contenido. 5. Adoptar explícitamente una corrida como referencia. 6. Comparar objetivo, evaluación, prescripción y plan antes/después: siguen sin cambio automático; sugerencia, ejecución, referencia y decisión profesional son objetos/actos distinguibles.","MET-DEMO v1 requiere BODY_WEIGHT con origen directo admisible; M1=72.5 kg revelable, M2=73.0 kg revelable y MX perteneciente a DEMO-A02 no revelable. Dos Idempotency-Key distintas para dos corridas; objetivo/plan iniciales capturados para comparación.","El profesional puede identificar qué método y versión ejecuta y qué datos requiere; un método no se ejecuta si faltan inputs obligatorios o si su procedencia no es admisible; varias ejecuciones pueden coexistir sin promediarse ni sobrescribirse; una sugerencia, selección, ejecución o referencia adoptada permanece distinguible de la decisión profesional final; el resultado no modifica automáticamente requerimiento, objetivo, evaluación, prescripción ni plan; BE no impone una fórmula propia ni genera autónomamente el requerimiento/objetivo, preservando `DEC-046 §4.4/§4.9` e `INV-06-133`.",`UC-I13` · `INV-06-133`,NOT_EXECUTED,— (11B)
TEST-RF-071,RF-071,UC-I02 UC-I03 UC-P32 UC-P33,Transversal,P0,E2E,— (TEST-RF: escenario definido por el RF),"DEMO-PN con vínculo y B2 vigente para NUTRITION_EVALUATION; DEMO-A01 con A3. Plantilla BE controlada FT-DEMO v1, no builder libre.","1. Enviar request válido por API-FRM-03 e inspeccionar solicitante, finalidad, alcance, versión y campos obligatorios/opcionales. 2. Enviar request mixto: rechazar con FORM_REQUEST_NOT_ALLOWED, sin crear solicitud recortada. 3. A01 responde al request válido confirmando el valor previo y su procedencia. 4. Rectificar la respuesta. 5. Verificar SELF_REPORTED y vínculo request/template exactos, original preservado y sin nueva medición profesional, consentimiento, vínculo ni acceso ampliado.",Plantilla con FIELD_N autorizado y FIELD_X no autorizado para este contexto. Request válido solicita solo FIELD_N. Request inválido solicita ambos con clave distinta. A01 tiene un valor previo autoinformado de FIELD_N; posterior corrección cambia su texto de DEMO-VALOR-1 a DEMO-VALOR-2.,"La solicitud identifica quién pide la información, para qué y dentro de qué alcance; solo utiliza categorías/campos permitidos y distingue datos requeridos de opcionales cuando corresponda; la respuesta queda identificada como `self-reported` y no se convierte en medición profesional, diagnóstico ni autorización; una solicitud no amplía vínculo, consentimiento o acceso; una corrección/actualización posterior preserva historia; un dato preexistente del perfil puede reutilizarse o confirmarse sin perder su procedencia ni duplicarse silenciosamente como un origen indistinguible.",`UC-P32/P33` · `REG-06-213`,NOT_EXECUTED,— (11B)
TEST-RF-020,RF-020,UC-P07,Apk,P0,E2E,— (TEST-RF: escenario definido por el RF),DEMO-A01 con A3 vigente; DEMO-PN verificado y habilitado; solicitud aceptada para Nutrición. No existe B2 para ese contexto ni alcance de Entrenamiento.,"1. Antes del otorgamiento, intentar lectura protegida con PN: denegada. 2. A01 lee y otorga expresamente C1 para REL-N1 y finalidad nutricional. 3. Verificar actor, fecha, texto/versión, alcance y contexto conservados. 4. Repetir lectura nutricional con todos los demás gates válidos. 5. Intentar lectura de Entrenamiento: denegada. 6. Publicar C2 como fixture y verificar que no aparece automáticamente aceptada.",Relación REL-N1; texto B2 versión C1 seleccionable; finalidad nutricional aplicable; instante T0. C2 es una versión posterior que todavía no fue aceptada por A01.,"No se habilita acceso protegido sin consentimiento vigente; el sistema conserva evidencia de versión, actor y fecha; el alcance no se amplía de forma implícita; un vínculo aceptado solo se considera operativo para un propósito cuando concurren los consentimientos aplicables.",BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-021,RF-021,UC-I02,Transversal,P0,E2E,— (TEST-RF: escenario definido por el RF),Contexto positivo PN/A01 que satisface los siete insumos de RF-021. Cada variante negativa parte de una restauración independiente de esa base.,"1. Ejecutar la operación protegida válida y registrar evidencia. 2. Ejecutar V1 a V7 por API directa, una alteración por corrida. 3. Confirmar que cada variante impide la operación y no produce mutación protegida. 4. Repetir por Website y APK donde el caso lo permita. 5. Alterar capabilities almacenadas en cliente: no cambia la decisión del servidor. No revelar datos internos del PDP en el error al usuario.","REL-N1 y recurso nutricional RN1; variantes V1 rol inadecuado, V2 alcance profesional no verificado, V3 situación/habilitación no operativa, V4 vínculo PAUSADO, V5 B2 REVOCADO, V6 finalidad ajena y V7 alcance solicitado Entrenamiento. Conservar los otros seis insumos válidos en cada variante.",Una condición faltante impide la operación; la decisión se aplica en todas las superficies; la interfaz no puede otorgar permisos por sí misma.,`UC-I02` · `08 §27`,NOT_EXECUTED,— (11B)
TEST-RF-022,RF-022,UC-P08,Apk,P0,E2E,— (TEST-RF: escenario definido por el RF),PN/A01 autorizado en Nutrición; segunda relación PT/A01 autorizada en Entrenamiento; sesiones profesionales activas y recursos históricos sintéticos.,1. PN consulta RN1 antes de T1. 2. A01 revoca B2-N1 y espera la confirmación del acto. 3. PN con su sesión previa intenta nuevas lecturas y escrituras de RN1: ambas denegadas. 4. Verificar que vínculo e historia no fueron borrados y que el acto quedó auditado. 5. Comprobar que B2-T1 no fue revocado por cascada y que PT conserva únicamente su acceso autorizado.,"B2-N1 vigente, B2-T1 vigente, recurso RN1 y RT1. T0 anterior a revocación; T1 confirmación de revocación por A01. Dos requests nuevos de lectura/escritura iniciados después de confirmarse T1.","Tras la revocación, un profesional ya no realiza nuevas lecturas o escrituras protegidas del alcance; la evidencia histórica no se elimina silenciosamente; el efecto queda auditado.",`UC-P08` · `08 §13`,NOT_EXECUTED,— (11B)
TEST-RF-023,RF-023,UC-P05 UC-P06 UC-P07,Transversal,P0,E2E,— (TEST-RF: escenario definido por el RF),"A01, A02, PN y PT con relaciones sintéticas distintas; consulta propia de vínculos disponible.","1. Consultar desde A01 la lista y detalle: PN/Nutrición autorizado, PT/Entrenamiento revocado, sin relación de A02. 2. Consultar desde PN: solo relaciones propias N1/N2, no T1. 3. Contrastar cada estado con una lectura protegida correspondiente. 4. Verificar que la pantalla no informa acceso vigente cuando el servidor lo deniega por el consentimiento revocado.",REL-N1 PN/A01 Nutrición con B2 vigente; REL-T1 PT/A01 Entrenamiento con B2 revocado; REL-N2 PN/A02 Nutrición vigente. Fechas y versiones de consentimiento identificables.,El asesorado identifica quién tiene acceso y con qué alcance; el profesional solo ve relaciones propias; la información coincide con la autorización efectiva.,BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-024,RF-024,UC-P06,Transversal,P0,E2E,— (TEST-RF: escenario definido por el RF),"Dos copias aisladas de REL-N1 ACEPTADO, con B2 vigente y PN habilitado. Recurso histórico RN1 revelable antes de la transición.","1. Pausar el alcance en A y finalizarlo en B mediante actor autorizado. 2. Verificar PAUSADO/FINALIZADO y actor, fecha y motivo. 3. Intentar nuevas operaciones incompatibles: denegadas. 4. Intentar lectura profesional residual: no concederla por autoría, según 08 y TEST-AUTH-007/008. 5. Verificar historia conservada y ausencia de revocación implícita de B2. El titular mantiene solo la consulta propia admitida por su política.",Rama A: pausa con motivo DEMO-PAUSA en T1. Rama B: finalización explícita con motivo DEMO-FIN en T1. El estado histórico de RN1 y el consentimiento se capturan antes.,"La acción impide nuevas operaciones incompatibles con el estado; conserva autoría, fecha y motivo; la lectura posterior queda pendiente de Q-005 y Documento 08.",BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-026,RF-026,UC-P09,Website,P0,E2E,— (TEST-RF: escenario definido por el RF),"PN autorizado para evaluación nutricional de A01; A3/B2, vínculo y finalidad vigentes. A02 no tiene relación con PN.","1. Registrar EN1 con fuentes y clases de dato identificadas. 2. Consultar la evaluación en la historia autorizada de A01. 3. Verificar A01/REL-N1, autoría y distinción entre informado, observado y calculado. 4. Ejecutar variante A02: denegación sin crear evaluación para el tercero. 5. Confirmar que el cálculo referenciado no se rotuló como medición profesional.","Evaluación EN1 de A01: dato autoinformado texto DEMO-HABITO, observación profesional DEMO-OBS y referencia a corrida CAL1 técnica sintética claramente diferenciada. Fecha T0; relación REL-N1. Variante cambia adviseeId por A02.","La evaluación queda asociada al asesorado y al vínculo autorizado; distingue datos informados, observados y calculados; puede consultarse en la historia.",BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-031,RF-031,UC-I04 UC-I10 UC-P11,Website,P0,E2E,— (TEST-RF: escenario definido por el RF),PN/A01 autorizado; evaluación EN1 y objetivo ON1 identificables; plan nutricional PN1 con borrador válido modalidad A. Capacidad profesional configurada sintéticamente.,"1. Validar y activar v1; consultar desde A01 la misma versión y contenido. 2. Preparar v2, activarla según continuidad autorizada y comprobar relación de sucesión, única vigencia y v1 inmutable. 3. En rama de capacidad agotada intentar activar un proceso nuevo para A01: rechazo; los procesos ya vigentes permanecen. 4. Capturar respuestas y comparación del snapshot antes/después, sin atribuir ejecución a esta ficha documental.","PN1-v1 contiene Día tipo D1, Comida C1, Opción O1 e Ítem I1 del catálogo demo con cantidad 100 g. Borrador v2 cambia cantidad a 120 g. Rama positiva con capacidad disponible; rama negativa con límite 1 ya ocupado por otro asesorado y nuevo proceso para A01.","El asesorado consulta exactamente la versión activada; una modificación posterior produce continuidad trazable y no altera el histórico emitido; no existen vigencias contradictorias; la activación de un proceso nuevo se rechaza cuando excede la capacidad configurada en RF-066, sin interrumpir procesos vigentes.",`UC-P11` · `INV-06-04`,NOT_EXECUTED,— (11B)
