T-06,concepto_canonico,nombre_corto_figura,regimen,areas_M,bloque_06,seccion_maestra_06,familias_API_09,UC_05_que_lo_usan,n_UC,RF_04,n_RF,nombre_DV-04,nombre_DV-06,nombre_DV-07,componente_DV-09,estado
T-06-01,Identidad BE,Identidad,PROPIETARIO-06,M-01,B-01,5,ACC,UC-E05 UC-E06 UC-E08 UC-E09 UC-P25 UC-P26 UC-P27 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-001 RF-002 RF-003 RF-004 RF-005 RF-006 RF-017 RF-061 RF-062 RF-066 RF-068 RF-069 RF-071,13,UC-E05,Identidad BE,IdentidadBE,,ASIGNADO
T-06-02,Estado operativo de cuenta,Estado de cuenta,PROPIETARIO-06,M-01,B-01,5,ACC,UC-E05 UC-E06 UC-E08 UC-E09 UC-P25 UC-P26 UC-P27 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-001 RF-002 RF-003 RF-004 RF-005 RF-006 RF-017 RF-061 RF-062 RF-066 RF-068 RF-069 RF-071,13,UC-E05,Estado operativo de cuenta,EstadoOperativoDeCuenta,,ASIGNADO
T-06-03,Método de acceso,Método de acceso,PROPIETARIO-06,M-01,B-01,5,ACC,UC-E05 UC-E06 UC-E08 UC-E09 UC-P25 UC-P26 UC-P27 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-001 RF-002 RF-003 RF-004 RF-005 RF-006 RF-017 RF-061 RF-062 RF-066 RF-068 RF-069 RF-071,13,UC-E05,Método de acceso,MétodoDeAcceso,,ASIGNADO
T-06-04,Perfil (propio / profesional),Perfil,PROPIETARIO-06,M-01/M-02,B-01,5,ACC,UC-E01 UC-E05 UC-E06 UC-E08 UC-E09 UC-P01 UC-P02 UC-P03 UC-P25 UC-P26 UC-P27 UC-P28 UC-P29 UC-P30,16,RF-001 RF-002 RF-003 RF-004 RF-005 RF-006 RF-008 RF-009 RF-010 RF-011 RF-012 RF-013 RF-014 RF-017 RF-061 RF-062 RF-066 RF-067 RF-068 RF-069,20,UC-E01,Perfil (propio / profesional),Perfil,,ASIGNADO
T-06-05,Cierre de cuenta,Cierre de cuenta,PROPIETARIO-06,M-01/M-04,B-01,5,ACC,UC-E05 UC-E06 UC-E08 UC-E09 UC-I01 UC-I03 UC-I04 UC-I07 UC-I08 UC-I10 UC-I11 UC-I13 UC-P25 UC-P26,21,RF-001 RF-002 RF-003 RF-004 RF-005 RF-006 RF-007 RF-009 RF-017 RF-025 RF-028 RF-031 RF-038 RF-041 RF-044 RF-050 RF-054 RF-057 RF-059 RF-060 RF-062 RF-066 RF-067 RF-070 RF-071,25,UC-E05,Cierre de cuenta,CierreDeCuenta,,ASIGNADO
T-06-06,Incidencia administrativa,Incidencia admin.,PROPIETARIO-06,M-01,B-01,5,ACC,UC-E05 UC-E06 UC-E08 UC-E09 UC-P25 UC-P26 UC-P27 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-001 RF-002 RF-003 RF-004 RF-005 RF-006 RF-017 RF-061 RF-062 RF-066 RF-068 RF-069 RF-071,13,UC-E05,Incidencia administrativa,IncidenciaAdministrativa,,ASIGNADO
T-06-07,Novedad interna,Novedad interna,PROPIETARIO-06,M-01,B-01,5,ACC,UC-E05 UC-E06 UC-E08 UC-E09 UC-P25 UC-P26 UC-P27 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-001 RF-002 RF-003 RF-004 RF-005 RF-006 RF-017 RF-061 RF-062 RF-066 RF-068 RF-069 RF-071,13,UC-E05,Novedad interna,NovedadInterna,,ASIGNADO
T-06-08,Notificación push no sensible,Push no sensible,PROPIETARIO-06,M-01,B-01,5,ACC,UC-E05 UC-E06 UC-E08 UC-E09 UC-P25 UC-P26 UC-P27 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-001 RF-002 RF-003 RF-004 RF-005 RF-006 RF-017 RF-061 RF-062 RF-066 RF-068 RF-069 RF-071,13,UC-E05,Notificación push no sensible,NotificaciónPushNoSensible,,ASIGNADO
T-06-09,Especialidad,Especialidad,PROPIETARIO-06,M-02,B-02,6,PRO,UC-E01 UC-P01 UC-P02 UC-P03,4,RF-008 RF-009 RF-010 RF-011 RF-012 RF-013 RF-014 RF-067,8,UC-E01,Especialidad,Especialidad,,ASIGNADO
T-06-10,Capacidad antropométrica transversal,Capacidad antrop.,PROPIETARIO-06,M-02/M-09,B-02,6,PRO,UC-E01 UC-E03 UC-E04 UC-I09 UC-I12 UC-P01 UC-P02 UC-P03 UC-P19 UC-P20 UC-P21 UC-P22,12,RF-008 RF-009 RF-010 RF-011 RF-012 RF-013 RF-014 RF-044 RF-047 RF-048 RF-049 RF-050 RF-051 RF-059 RF-066 RF-067 RF-070,17,UC-E01,Capacidad antropométrica transversal,CapacidadAntropométricaTransversal,,ASIGNADO
T-06-11,Verificación profesional,Verificación,PROPIETARIO-06,M-02,B-02,6,PRO,UC-E01 UC-P01 UC-P02 UC-P03,4,RF-008 RF-009 RF-010 RF-011 RF-012 RF-013 RF-014 RF-067,8,UC-E01,Verificación profesional,VerificaciónProfesional,,ASIGNADO
T-06-12,Observación / subsanación,Observación,PROPIETARIO-06,M-02,B-02,6,PRO,UC-E01 UC-P01 UC-P02 UC-P03,4,RF-008 RF-009 RF-010 RF-011 RF-012 RF-013 RF-014 RF-067,8,UC-E01,Observación / subsanación,ObservaciónSubsanación,,ASIGNADO
T-06-13,Habilitación,Habilitación,PROPIETARIO-06,M-02/M-05,B-02,6,PRO,UC-E01 UC-E08 UC-P01 UC-P02 UC-P03 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,10,RF-008 RF-009 RF-010 RF-011 RF-012 RF-013 RF-014 RF-061 RF-062 RF-066 RF-067 RF-068 RF-071,13,UC-E01,Habilitación,Habilitación,,ASIGNADO
T-06-14,Capacidad configurada,Capacidad config.,PROPIETARIO-06,M-05,B-05,9,PRO,UC-E01 UC-E08 UC-P01 UC-P02 UC-P03 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,10,RF-008 RF-009 RF-010 RF-011 RF-012 RF-013 RF-014 RF-061 RF-062 RF-066 RF-067 RF-068 RF-071,13,UC-E01,Capacidad configurada,CapacidadConfigurada,,ASIGNADO
T-06-15,Vínculo,Vínculo,PROPIETARIO-06,M-03,B-03,7,REL/CON,UC-E08 UC-I02 UC-P04 UC-P05 UC-P06 UC-P07 UC-P08 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-015 RF-018 RF-019 RF-020 RF-021 RF-022 RF-023 RF-024 RF-051 RF-052 RF-053 RF-057 RF-061 RF-062 RF-065 RF-066 RF-068 RF-071,18,UC-E08,Vínculo,Vínculo,,ASIGNADO
T-06-16,Solicitud de vínculo,Solicitud de vínculo,PROPIETARIO-06,M-03,B-03,7,REL/CON,UC-E08 UC-I02 UC-P04 UC-P05 UC-P06 UC-P07 UC-P08 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-015 RF-018 RF-019 RF-020 RF-021 RF-022 RF-023 RF-024 RF-051 RF-052 RF-053 RF-057 RF-061 RF-062 RF-065 RF-066 RF-068 RF-071,18,UC-E08,Solicitud de vínculo,SolicitudDeVínculo,,ASIGNADO
T-06-17,Consentimiento vigente,Consentimiento,PROPIETARIO-06,M-03,B-03,7,REL/CON,UC-E08 UC-I02 UC-P04 UC-P05 UC-P06 UC-P07 UC-P08 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-015 RF-018 RF-019 RF-020 RF-021 RF-022 RF-023 RF-024 RF-051 RF-052 RF-053 RF-057 RF-061 RF-062 RF-065 RF-066 RF-068 RF-071,18,UC-E08,Consentimiento vigente,ConsentimientoVigente,,ASIGNADO
T-06-18,Revocación de consentimiento,Revocación,PROPIETARIO-06,M-03,B-03,7,REL/CON,UC-E08 UC-I02 UC-P04 UC-P05 UC-P06 UC-P07 UC-P08 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-015 RF-018 RF-019 RF-020 RF-021 RF-022 RF-023 RF-024 RF-051 RF-052 RF-053 RF-057 RF-061 RF-062 RF-065 RF-066 RF-068 RF-071,18,UC-E08,Revocación de consentimiento,RevocaciónDeConsentimiento,,ASIGNADO
T-06-19,Autorización contextual,Autorización ctx.,PROPIETARIO-06,M-03/M-11,B-03,7,REL/CON,UC-E07 UC-E08 UC-I02 UC-P04 UC-P05 UC-P06 UC-P07 UC-P08 UC-P23 UC-P24 UC-P28 UC-P29 UC-P30 UC-P31,16,RF-015 RF-018 RF-019 RF-020 RF-021 RF-022 RF-023 RF-024 RF-051 RF-052 RF-053 RF-054 RF-055 RF-057 RF-061 RF-062 RF-065 RF-066 RF-068 RF-071,20,UC-E07,Autorización contextual,AutorizaciónContextual,,ASIGNADO
