ID,Título,Canal,Prioridad (04),Obligación en una línea,UC que lo materializa (05),Familia API (09)
RF-001,Registrar una identidad BE,TRANSVERSAL,P0 — Núcleo no recortable,"BE deberá permitir crear una cuenta propia mediante autenticación local, asociada a una identidad única e independiente del profesional, especialidad o paquete comercial.",UC-P25,ACC
RF-002,Autenticar y finalizar una sesión local,TRANSVERSAL,P0 — Núcleo no recortable,BE deberá permitir iniciar y finalizar una sesión mediante credenciales locales y bloquear el acceso cuando la cuenta no esté habilitada.,UC-P26,ACC
RF-003,Acceder mediante Google sin duplicar identidad,TRANSVERSAL,P1 — Alta prioridad,"BE deberá admitir Google como método federado adicional, manteniendo a BE como fuente de identidad, roles, especialidades y habilitaciones.",UC-E05,ACC-P1
RF-004,Administrar métodos de acceso de una misma identidad,TRANSVERSAL,P2 — Condicionado / recortable,BE podrá permitir asociar o retirar métodos de acceso sin fragmentar la identidad longitudinal.,UC-E06,ACC-P2
RF-005,Recuperar el acceso local,TRANSVERSAL,P1 — Alta prioridad,BE deberá ofrecer un recorrido de recuperación de credencial local que preserve la identidad y no revele indebidamente la existencia de cuentas.,UC-E09 → extiende UC-P26,ACC-P1
RF-006,Consultar el estado de la cuenta y del perfil,TRANSVERSAL,P0 — Núcleo no recortable,BE deberá informar el estado operativo de la cuenta y los pasos pendientes para poder utilizar cada capacidad.,UC-P25 / UC-P26,ACC
RF-007,Acceder a las capacidades por la superficie prevista,TRANSVERSAL,P0 — Núcleo no recortable,Cada actor deberá poder llegar a las funciones que le corresponden desde el Website o la APK sin conocer rutas internas.,UC-I11,ACC/SYS
RF-008,Crear y mantener un perfil profesional,WEBSITE,P0 — Núcleo no recortable,BE deberá permitir completar un perfil profesional sin confundirlo con una especialidad verificada ni con autorización sobre asesorados.,UC-P01,PRO
RF-009,Declarar especialidades y aportar evidencia,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir solicitar Nutrición, Entrenamiento o ambas, aportando evidencia separada para cada especialidad; la antropometría se tratará como capacidad transversal sujeta a política específica.",UC-P01 / UC-I01,PRO
RF-010,Presentar una solicitud de verificación,WEBSITE,P0 — Núcleo no recortable,BE deberá permitir enviar a revisión administrativa la evidencia de una especialidad o de la capacidad antropométrica cuando el conjunto mínimo requerido esté completo.,UC-P01,PRO
RF-011,Revisar una solicitud profesional,WEBSITE,P0 — Núcleo no recortable,"El administrador deberá consultar la evidencia presentada, verificar completitud y registrar observaciones o una resolución trazable por especialidad o capacidad transversal.",UC-P02,PRO-ADM
RF-012,Resolver la verificación por especialidad o capacidad transversal,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir aprobar, rechazar o suspender la operación de una especialidad o capacidad transversal con motivo y trazabilidad, respetando como mínimo los estados aprobados por DEC-005.",UC-P02 / UC-P03,PRO-ADM
RF-013,Responder observaciones y volver a presentar evidencia,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir corregir una solicitud no aprobada cuando la resolución admita subsanación, sin sobrescribir la evidencia revisada.",UC-E01,PRO
RF-014,Suspender y rehabilitar una capacidad profesional,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir suspender y, cuando corresponda, rehabilitar la operación profesional con motivo, alcance y autoría.",UC-P03,PRO-ADM
RF-015,"Mantener separadas verificación, habilitación y autorización",TRANSVERSAL,P0 — Núcleo no recortable,"BE deberá evaluar de forma independiente identidad, especialidad verificada, habilitación comercial o académica, vínculo, consentimiento y autorización de datos.",TR-01 / UC-P04 / UC-P05,REL/CON/SYS
RF-017,Crear y mantener un perfil de asesorado,APK,P0 — Núcleo no recortable,"BE deberá permitir a una persona adulta crear y mantener un perfil propio, gratuito y persistente, aun sin vínculo activo.",UC-P25,ACC
RF-018,Solicitar o invitar a un vínculo,TRANSVERSAL,P0 — Núcleo no recortable,"BE deberá permitir iniciar una solicitud de vínculo que identifique profesional, asesorado, especialidad y finalidad.",UC-P04,REL
RF-019,Aceptar o rechazar un vínculo,APK,P0 — Núcleo no recortable,El asesorado deberá aceptar o rechazar expresamente la solicitud antes de que el vínculo pueda habilitar operación profesional.,UC-P05,REL
RF-020,Otorgar consentimiento específico y versionado,APK,P0 — Núcleo no recortable,"BE deberá permitir otorgar consentimiento informado, específico, versionado y revocable para los datos, dominios y finalidades aplicables.",UC-P07,CON
RF-021,Evaluar la autorización contextual en cada operación protegida,TRANSVERSAL,P0 — Núcleo no recortable,"BE deberá permitir o denegar cada operación considerando rol, especialidad, estado, vínculo, consentimiento, finalidad y alcance vigentes.",UC-I02 / TR-02,SYS/PDP
RF-022,Revocar consentimiento y cortar accesos futuros,APK,P0 — Núcleo no recortable,BE deberá permitir revocar un consentimiento y hacer efectiva la pérdida de autorización para operaciones futuras del alcance revocado.,UC-P08 / TR-05,CON
RF-023,Consultar vínculos y consentimientos propios,TRANSVERSAL,P0 — Núcleo no recortable,"Cada actor deberá consultar sus relaciones, especialidades, finalidades, estados y consentimientos relevantes.",UC-P06 / UC-P07 / UC-P05,REL/CON
RF-024,Pausar o finalizar un vínculo,TRANSVERSAL,P0 — Núcleo no recortable,BE deberá permitir pausar o finalizar un vínculo sin borrar la identidad ni la historia del proceso.,UC-P06,REL
RF-025,Preservar identidad e historia al cambiar de profesional,TRANSVERSAL,P0 — Núcleo no recortable,"BE deberá conservar la identidad longitudinal y la procedencia de los registros cuando un vínculo cambie o finalice, sin transferir acceso automáticamente a otro profesional.",UC-I03 / TR-03,SYS/DSH
RF-026,Registrar una evaluación nutricional,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir registrar una evaluación nutricional pertinente al proceso, con autoría, fecha, fuente y contexto.",UC-P09,NUT
RF-027,Gestionar un catálogo nutricional propio,WEBSITE,P0 — Núcleo no recortable,BE deberá disponer de un catálogo propio de alimentos y permitir carga manual para operar sin proveedores externos.,UC-P10,NUT/INT
RF-028,Importar alimentos desde Open Food Facts,WEBSITE,P0 — Compromiso académico de integración,"BE deberá consultar e importar de forma controlada alimentos desde Open Food Facts, validando los datos antes de incorporarlos al catálogo BE.",UC-I07 / UC-P10,INT-NUT
RF-029,Definir un objetivo nutricional vigente,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir acordar y registrar un objetivo nutricional con vigencia, responsable y relación con la evaluación.",UC-P09,NUT
RF-030,Crear y editar un plan nutricional en borrador,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir construir un plan nutricional con estructura suficiente para indicar comidas, alternativas, cantidades, objetivos y observaciones antes de activarlo.",UC-P10,NUT
RF-031,"Validar, versionar y activar un plan nutricional",WEBSITE,P0 — Núcleo no recortable,"BE deberá impedir la activación de un plan inválido y, al activarlo, conservar una versión reproducible y claramente vigente.",UC-P11 / UC-I04 / UC-I10,NUT
RF-032,Consultar el plan nutricional del día en la APK,APK,P0 — Núcleo no recortable,El asesorado deberá consultar desde Hoy qué corresponde realizar según su plan nutricional activo.,UC-P12,NUT
RF-033,Registrar adherencia o ejecución nutricional,APK,P0 — Núcleo no recortable,BE deberá permitir registrar evidencia simple de cumplimiento o ejecución del plan nutricional con fecha y observación opcional.,UC-P12,NUT
RF-034,Analizar evidencia nutricional para una revisión,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir examinar en conjunto evaluación, objetivo, plan, ejecución y evolución nutricional antes de decidir continuidad.",UC-P13,NUT
